time|_no|_EMW|A|B|C|D|E
1447415643|120000|1|0|1|0|0|0
1450325449|110100|1|0|1|0|0|0
1466579706|340000|2|0|0|0|0|0
1435311222|440000|1|0|0|0|0|0
1380431640|510000|3|0|0|0|0|0
1418297128|500000|3|0|0|0|0|0
1440404778|510000|3|1|0|0|0|0
1444443751|210000|1|0|0|1|0|1
1458877633|620000|3|0|0|0|0|0
1448597288|360000|2|0|1|0|0|1
1446540483|110100|1|0|0|1|0|0
1470816601|140000|2|0|0|0|0|0
1466679139|450000|1|0|1|0|0|0
1458744303|210000|1|1|0|0|0|0
1417089320|110100|1|0|0|0|0|0
1438657004|320000|1|0|0|1|0|0
1479433179|230000|2|0|0|0|0|0
1407410285|430000|2|0|0|0|0|0
1445245469|360000|2|0|1|1|0|0
1466761622|110100|1|1|0|0|0|0
1514383081|620000|3|0|0|0|0|0
1473776875|510000|3|0|0|1|0|0
1432799289|130000|1|0|0|0|0|0
1425124218|510000|3|0|0|0|0|0
1453443854|370000|1|0|1|0|1|0
1434717191|650000|3|0|1|0|0|0
1512984411|230000|2|0|0|0|0|0
1484218823|620000|3|0|0|0|0|0
1441970777|350000|1|0|1|0|0|0
1516861739|150000|2|0|0|0|0|0
1480583419|320000|1|0|0|0|0|0
1438677210|140000|2|1|0|0|0|0
1504688824|510000|3|0|0|0|0|0
1506593897|610000|3|0|0|0|0|0
1422000929|110100|1|0|0|0|0|0
1458117615|370000|1|0|0|1|0|0
1459828165|620000|3|0|0|1|0|0
1465906005|530000|3|0|1|0|0|1
1474859411|440000|1|0|0|0|0|0
1432994970|450000|1|0|0|0|0|0
1440743139|330000|1|0|0|1|0|0
1460115343|620000|3|0|0|1|0|0
1468974570|320000|1|0|0|0|0|0
1482224958|0|0|0|0|0|0|0
1442915282|410000|2|1|0|0|0|1
1454307006|610000|3|1|1|0|0|0
1474188737|110100|1|0|0|0|0|0
1410781009|110100|1|0|0|0|0|0
1451978423|150000|2|0|0|1|0|0
1436245527|510000|3|0|0|0|0|0
1458011735|520000|3|1|0|0|1|0
1441874731|440000|1|0|0|0|0|0
1461069220|610000|3|0|1|0|0|0
1512534355|510000|3|0|0|0|0|0
1445848779|350000|1|0|1|0|0|0
1465694440|530000|3|0|1|1|0|0
1479958204|310000|1|0|0|0|0|0
1476178834|510000|3|0|0|0|0|0
1447937724|440000|1|1|0|0|1|0
1458877531|440000|1|1|0|0|0|0
1419420220|350000|1|0|0|0|0|0
1497259774|450000|1|0|0|0|0|0
1447122375|530000|3|0|0|0|1|1
1463493193|110100|1|1|0|1|0|0
1415351343|420000|2|0|0|0|0|0
1430386796|370000|1|0|1|0|0|0
1453796968|370000|1|0|0|0|0|0
1456394488|370000|1|0|0|1|0|0
1432302116|530000|3|1|0|0|0|0
1488424967|640000|3|0|0|0|0|0
1454040933|220000|2|0|1|0|0|1
1489543833|110100|1|0|0|0|0|0
1438136059|110100|1|0|0|0|0|0
1476415673|360000|2|0|0|0|0|0
1449799053|330000|1|1|0|0|0|0
1468829208|110100|1|1|0|0|0|0
1446461714|420000|2|1|0|0|0|0
1484728510|450000|1|0|0|0|0|0
1408611102|110100|1|0|1|0|0|0
1413181231|330000|1|0|0|0|0|0
1445843377|360000|2|0|1|0|1|0
1448270873|360000|2|0|1|0|1|0
1413036880|370000|1|0|0|0|0|0
1450847999|370000|1|1|0|0|0|0
1417431020|110100|1|0|0|0|0|0
1433840352|370000|1|1|0|0|0|0
1444644409|610000|3|0|1|0|0|1
1462941050|150000|2|0|0|0|1|0
1504707537|520000|3|0|0|0|0|0
1492608454|650000|3|0|0|0|0|0
1442386633|500000|3|0|0|0|0|1
1421233502|350000|1|0|0|0|0|0
1488439225|450000|1|0|0|0|0|0
1464566724|110100|1|0|0|0|0|0
1431337678|120000|1|0|0|0|0|0
1446793488|450000|1|1|0|0|0|0
1434154415|130000|1|0|0|0|0|0
1445395084|500000|3|0|0|1|1|0
1493346327|620000|3|0|0|0|0|0
1409241233|120000|1|0|0|0|0|0
1444897760|430000|2|0|1|0|1|0
1494214726|430000|2|0|0|0|0|0
1427266873|150000|2|0|0|0|0|0
1415094436|530000|3|1|0|0|0|0
1435305767|210000|1|1|0|0|0|0
1458802827|510000|3|0|0|1|1|0
1430725454|440000|1|0|0|0|0|0
1517299800|430000|2|0|0|0|0|0
1505702789|370000|1|0|0|0|0|0
1441527612|370000|1|0|1|0|0|0
1465229303|310000|1|1|0|0|0|0
1441676681|350000|1|0|1|0|0|0
1440108294|450000|1|0|0|0|0|0
1426843322|440000|1|0|0|0|0|0
1500887778|620000|3|0|0|0|0|0
1417772566|530000|3|1|0|0|0|0
1444813989|410000|2|0|1|1|0|0
1435306765|130000|1|1|0|0|0|0
1440321465|110100|1|0|0|0|1|0
1439279919|320000|1|0|0|0|0|0
1446457463|420000|2|0|1|0|0|0
1475133262|130000|1|0|0|0|0|0
1450856637|110100|1|1|0|0|0|0
1455874909|370000|1|0|1|0|0|1
1441596828|370000|1|0|0|0|0|0
1483434121|0|0|0|0|0|0|0
1490596610|650000|3|0|0|0|0|0
1450271393|350000|1|0|1|0|0|0
1445942214|110100|1|1|0|0|0|0
1481797992|0|0|0|0|0|0|0
1472121402|440000|1|0|0|0|0|0
1428105296|130000|1|0|0|0|0|0
1488776663|110100|1|0|0|0|0|0
1453447115|440000|1|0|0|0|0|0
1440724975|330000|1|0|0|0|1|0
1442604404|420000|2|1|0|0|0|0
1443609683|350000|1|0|1|0|1|0
1450763125|120000|1|0|0|1|0|0
1435136572|340000|2|1|0|0|0|0
1433748922|530000|3|1|0|0|0|0
1509621743|230000|2|0|0|0|0|0
1440504019|310000|1|1|0|0|0|0
1490684796|530000|3|0|0|0|0|0
1389168843|110100|1|0|0|0|0|0
1503472677|440000|1|0|0|0|0|0
1468837619|130000|1|1|0|0|0|0
1388504262|330000|1|0|1|0|0|0
1498661341|370000|1|0|0|0|0|0
1439963001|610000|3|0|1|0|0|0
1497494755|350000|1|0|0|0|0|0
1460363292|340000|2|1|0|0|0|0
1482217342|530000|3|0|0|0|0|0
1444542077|320000|1|1|1|0|0|0
1421233687|350000|1|0|0|0|0|0
1450434464|530000|3|0|1|1|0|0
1505793665|320000|1|0|0|0|0|0
1445498348|530000|3|0|0|1|0|0
1439546797|120000|1|0|0|0|0|0
1447045438|130000|1|0|1|1|0|0
1442823010|610000|3|0|1|0|1|0
1463463093|620000|3|0|0|0|0|0
1443086414|510000|3|1|0|0|1|0
1448885026|350000|1|0|1|0|1|0
1465373986|370000|1|0|0|0|0|0
1437535652|620000|3|1|0|0|0|0
1444396341|110100|1|0|0|1|0|0
1409887436|330000|1|0|0|0|0|0
1436918517|530000|3|0|0|0|0|0
1440497890|520000|3|1|0|0|0|0
1450681458|530000|3|0|1|0|0|0
1507263343|230000|2|0|0|0|0|0
1437117608|440000|1|0|0|0|0|0
1458554005|340000|2|1|0|0|0|0
1474356295|440000|1|0|0|0|0|0
1446518402|450000|1|0|1|0|0|0
1426145851|370000|1|0|0|0|0|0
1435836430|370000|1|1|0|0|0|0
1469437131|530000|3|0|0|0|0|0
1426198505|350000|1|0|0|0|0|0
1445504883|370000|1|0|1|0|0|0
1449219118|610000|3|0|0|0|1|0
1434015659|370000|1|0|0|0|0|0
1409214110|430000|2|0|0|0|0|0
1456216993|370000|1|0|1|0|1|0
1421837820|610000|3|0|0|0|0|0
1439281706|370000|1|0|0|0|0|0
1425468931|530000|3|1|0|0|0|0
1429862996|110100|1|0|0|0|0|0
1469174444|520000|3|1|0|0|0|0
1493819003|370000|1|0|0|0|0|0
1515486280|120000|1|0|0|0|0|0
1442890676|610000|3|0|1|0|0|0
1443166974|110100|1|0|0|0|0|0
1482995877|130000|1|0|0|0|0|0
1514538120|510000|3|0|0|0|0|0
1429270839|410000|2|0|0|0|0|0
1466775699|530000|3|0|1|0|0|0
1452504647|130000|1|0|1|1|0|0
1425290116|110100|1|0|0|0|0|0
1428574684|330000|1|0|0|1|0|0
1383224347|320000|1|1|0|0|0|0
1420458293|370000|1|0|0|0|0|0
1489057006|370000|1|0|0|0|0|0
1493018294|350000|1|0|0|0|0|0
1439899143|540000|3|0|0|1|0|0
1419650860|440000|1|0|0|0|0|0
1437094297|440000|1|0|0|0|0|0
1439966948|440000|1|0|0|1|0|0
1491997626|110100|1|0|0|0|0|0
1450952765|340000|2|1|0|0|0|0
1473211677|620000|3|0|0|0|0|0
1435843750|320000|1|0|0|0|0|0
1409892174|320000|1|0|0|0|0|0
1503369963|510000|3|0|0|0|0|0
1471438266|110100|1|0|0|0|0|0
1472544100|130000|1|0|0|0|0|0
1436433293|110100|1|1|0|0|0|0
1413188772|350000|1|0|0|0|0|0
1433248856|510000|3|0|0|0|0|0
1442552700|320000|1|0|0|1|0|0
1434528732|650000|3|1|0|0|0|0
1448426330|420000|2|0|1|1|0|0
1478077573|360000|2|0|0|0|0|0
1491449820|530000|3|0|0|0|0|0
1499160237|430000|2|0|0|0|0|0
1497619452|530000|3|0|0|0|0|0
1474626643|350000|1|0|0|0|0|0
1486972897|210000|1|0|0|0|0|0
1460355537|650000|3|0|1|0|1|0
1459914509|530000|3|0|0|1|0|1
1444456652|350000|1|0|0|1|0|0
1482806246|530000|3|0|0|0|0|0
1454318886|610000|3|1|1|0|0|0
1426571417|430000|2|1|0|0|0|0
1466773231|110100|1|0|1|1|0|0
1479714844|530000|3|0|0|0|0|0
1471962823|350000|1|0|0|0|0|0
1442990991|230000|2|0|1|0|0|0
1448954252|150000|2|0|0|0|1|0
1480339313|440000|1|0|0|0|0|0
1437983378|610000|3|0|0|0|0|0
1471487998|110100|1|0|0|0|0|0
1452566106|410000|2|0|1|1|0|0
1432689339|350000|1|0|0|0|0|0
1452611286|650000|3|0|1|0|1|0
1458556103|360000|2|1|0|0|0|0
1463479715|330000|1|0|0|1|0|0
1442306746|350000|1|0|1|0|0|0
1463722063|610000|3|0|1|0|0|0
1445595867|150000|2|0|1|0|0|0
1454669104|610000|3|1|1|0|0|0
1452134118|370000|1|0|1|0|0|0
1456468650|370000|1|1|0|0|0|1
1458007600|650000|3|0|1|0|1|0
1489561942|530000|3|0|0|0|0|0
1435578571|420000|2|0|0|0|0|0
1509343951|320000|1|0|0|0|0|0
1443076502|640000|3|1|1|0|0|0
1457926410|370000|1|0|1|0|0|1
1421234839|350000|1|0|0|0|0|0
1429881867|330000|1|0|1|0|0|0
1439978329|440000|1|1|0|0|0|0
1488357325|440000|1|0|0|0|0|0
1509958002|110100|1|0|0|0|0|0
1449544535|630000|3|1|0|0|1|0
1452495591|610000|3|0|1|0|0|1
1474610904|230000|2|0|0|0|0|0
1512817981|230000|2|0|0|0|0|0
1487152009|650000|3|0|0|0|0|0
1448354231|610000|3|0|0|0|1|0
1479204406|110100|1|0|0|0|0|0
1411736781|510000|3|0|0|0|0|0
1447298569|130000|1|1|0|0|0|0
1468474324|420000|2|0|0|0|0|0
1470979476|140000|2|0|0|0|0|0
1500281522|510000|3|0|0|0|0|0
1418088704|370000|1|0|0|0|0|0
1417520208|110100|1|0|0|0|0|0
1441634317|370000|1|0|0|0|1|1
1448333928|430000|2|0|1|0|1|0
1459949665|370000|1|0|1|0|0|1
1422448812|370000|1|0|0|0|0|0
1487221902|0|0|0|0|0|0|0
1432197735|420000|2|0|1|0|0|0
1458643777|620000|3|0|0|1|0|0
1444897665|610000|3|0|0|0|1|0
1407759034|530000|3|0|0|0|0|0
1485080542|0|0|0|0|0|0|0
1521709233|440000|1|0|0|0|0|0
1390299409|110100|1|0|0|0|0|0
1446176423|420000|2|0|1|0|0|0
1441620574|130000|1|0|0|0|0|0
1464846245|410000|2|0|1|1|0|0
1419421905|110100|1|1|0|0|0|0
1498570149|610000|3|0|0|0|0|0
1415194178|610000|3|0|0|0|0|0
1431514578|350000|1|0|0|0|0|0
1452001058|450000|1|0|0|1|1|0
1418697730|440000|1|0|0|0|0|0
1445598227|610000|3|0|0|0|1|0
1429793239|440000|1|0|0|0|0|0
1508383635|410000|2|0|0|0|0|0
1494560348|370000|1|0|0|0|0|0
1421140056|360000|2|0|0|0|0|0
1423484829|320000|1|1|0|0|0|0
1417604860|360000|2|0|0|0|0|0
1457610895|370000|1|0|1|0|0|1
1460733184|370000|1|0|1|0|0|0
1469662979|610000|3|0|0|0|0|0
1432284720|370000|1|1|0|0|0|0
1452513618|140000|2|0|1|1|0|0
1427871019|110100|1|0|0|0|0|0
1498486779|320000|1|0|0|0|0|0
1450340564|320000|1|0|1|1|0|0
1453977695|450000|1|0|1|0|1|0
1459874160|450000|1|1|0|0|0|0
1506890971|320000|1|0|0|0|0|0
1447816449|610000|3|1|0|0|0|0
1480428835|420000|2|0|0|0|0|0
1429181462|110100|1|1|0|0|0|0
1443173118|350000|1|0|0|1|0|0
1475891207|110100|1|0|0|0|0|0
1413014396|360000|2|0|0|0|0|0
1446209116|510000|3|0|0|1|0|0
1457319280|610000|3|0|1|0|1|0
1408343571|110100|1|0|0|0|0|0
1445390835|340000|2|0|0|1|0|0
1433607807|330000|1|0|0|0|0|0
1439265372|610000|3|1|0|0|0|0
1410370219|440000|1|1|0|0|0|0
1482930309|0|0|0|0|0|0|0
1446196799|530000|3|1|1|0|0|0
1472712011|220000|2|0|0|0|0|0
1445410770|350000|1|0|0|1|0|0
1450837774|610000|3|1|0|1|0|0
1415360445|530000|3|0|0|0|0|0
1454563829|650000|3|0|1|0|1|0
1491911910|420000|2|0|0|0|0|0
1457411911|370000|1|0|1|0|0|1
1458209445|610000|3|0|0|0|1|0
1431343422|340000|2|0|0|0|0|0
1490843384|530000|3|0|0|0|0|0
1491546391|650000|3|0|0|0|0|0
1426848715|340000|2|1|0|0|0|0
1423995713|370000|1|1|0|0|0|0
1454307053|610000|3|0|1|0|0|1
